"","formulaString","adj_r2"
"1","salary~PTS",0.433261749981497
"2","salary~TRB",0.270799616372266
"3","salary~AST",0.36595096525504
"4","salary~STL",0.252617348372526
"5","salary~BLK",0.129413729130701
"6","salary~`eFG%`",0.0238567651876427
"7","salary~Pos",0.022223619470162
"8","salary~Age",0.138059453155705
"9","salary~PTS*TRB",0.437504939613646
"10","salary~PTS+TRB",0.432590889068583
"11","salary~TRB+PTS",0.432590889068583
"12","salary~PTS*AST",0.444971361341536
"13","salary~PTS+AST",0.444152141953783
"14","salary~AST+PTS",0.444152141953783
"15","salary~PTS*STL",0.431227748291863
"16","salary~PTS+STL",0.432472936015571
"17","salary~STL+PTS",0.432472936015571
"18","salary~PTS*BLK",0.441059417632565
"19","salary~PTS+BLK",0.432839863334492
"20","salary~BLK+PTS",0.432839863334492
"21","salary~PTS*`eFG%`",0.425985167396107
"22","salary~PTS+`eFG%`",0.427260479982353
"23","salary~`eFG%`+PTS",0.427260479982353
"24","salary~PTS*Pos",0.451418112158673
"25","salary~PTS+Pos",0.44264356577008
"26","salary~Pos+PTS",0.44264356577008
"27","salary~PTS*Age",0.6171017153985
"28","salary~PTS+Age",0.532722237287587
"29","salary~Age+PTS",0.532722237287587
"30","salary~TRB*AST",0.41090079321218
"31","salary~TRB+AST",0.410015146958983
"32","salary~AST+TRB",0.410015146958983
"33","salary~TRB*STL",0.30858039193653
"34","salary~TRB+STL",0.30949985475194
"35","salary~STL+TRB",0.30949985475194
"36","salary~TRB*BLK",0.283576306077271
"37","salary~TRB+BLK",0.281344590535675
"38","salary~BLK+TRB",0.281344590535675
"39","salary~TRB*`eFG%`",0.281865801216753
"40","salary~TRB+`eFG%`",0.263521850312755
"41","salary~`eFG%`+TRB",0.263521850312755
"42","salary~TRB*Pos",0.31272654166069
"43","salary~TRB+Pos",0.298142348997429
"44","salary~Pos+TRB",0.298142348997429
"45","salary~TRB*Age",0.407264014079952
"46","salary~TRB+Age",0.37275653936409
"47","salary~Age+TRB",0.37275653936409
"48","salary~AST*STL",0.380328219887658
"49","salary~AST+STL",0.365910520741679
"50","salary~STL+AST",0.365910520741679
"51","salary~AST*BLK",0.415120670363952
"52","salary~AST+BLK",0.400921232306369
"53","salary~BLK+AST",0.400921232306369
"54","salary~AST*`eFG%`",0.373604613988612
"55","salary~AST+`eFG%`",0.365065425510788
"56","salary~`eFG%`+AST",0.365065425510788
"57","salary~AST*Pos",0.444285831015078
"58","salary~AST+Pos",0.396551795092695
"59","salary~Pos+AST",0.396551795092695
"60","salary~AST*Age",0.502385459337844
"61","salary~AST+Age",0.452651371351013
"62","salary~Age+AST",0.452651371351013
"63","salary~STL*BLK",0.267817230966379
"64","salary~STL+BLK",0.268912003180485
"65","salary~BLK+STL",0.268912003180485
"66","salary~STL*`eFG%`",0.24491493842005
"67","salary~STL+`eFG%`",0.246418002153152
"68","salary~`eFG%`+STL",0.246418002153152
"69","salary~STL*Pos",0.283126889472882
"70","salary~STL+Pos",0.267772655797422
"71","salary~Pos+STL",0.267772655797422
"72","salary~STL*Age",0.391499611495106
"73","salary~STL+Age",0.354341237178684
"74","salary~Age+STL",0.354341237178684
"75","salary~BLK*`eFG%`",0.163503520844616
"76","salary~BLK+`eFG%`",0.124686680170227
"77","salary~`eFG%`+BLK",0.124686680170227
"78","salary~BLK*Pos",0.185968905169883
"79","salary~BLK+Pos",0.15745112856613
"80","salary~Pos+BLK",0.15745112856613
"81","salary~BLK*Age",0.254187179115668
"82","salary~BLK+Age",0.249396690715639
"83","salary~Age+BLK",0.249396690715639
"84","salary~`eFG%`*Pos",0.0373232068730355
"85","salary~`eFG%`+Pos",0.0407629110069124
"86","salary~Pos+`eFG%`",0.0407629110069125
"87","salary~`eFG%`*Age",0.148951181506264
"88","salary~`eFG%`+Age",0.150114447520314
"89","salary~Age+`eFG%`",0.150114447520314
"90","salary~Pos*Age",0.165749538612177
"91","salary~Pos+Age",0.148611367364348
"92","salary~Age+Pos",0.148611367364348
"93","salary~PTS*TRB*AST",0.463766944425925
"94","salary~PTS*TRB+AST",0.45246532249678
"95","salary~PTS*AST+TRB",0.444575207104503
"96","salary~TRB*AST+PTS",0.447388265450081
"97","salary~PTS+TRB+AST",0.444795244773883
"98","salary~TRB+PTS+AST",0.444795244773883
"99","salary~AST+PTS+TRB",0.444795244773883
"100","salary~PTS*TRB*STL",0.435146658588456
"101","salary~PTS*TRB+STL",0.436252531428835
"102","salary~PTS*STL+TRB",0.431040459755868
"103","salary~TRB*STL+PTS",0.431990431362033
"104","salary~PTS+TRB+STL",0.432085575920852
"105","salary~TRB+PTS+STL",0.432085575920852
"106","salary~STL+PTS+TRB",0.432085575920852
"107","salary~PTS*TRB*BLK",0.437852296568667
"108","salary~PTS*TRB+BLK",0.436802790697887
"109","salary~PTS*BLK+TRB",0.439837916648695
"110","salary~TRB*BLK+PTS",0.436745935605358
"111","salary~PTS+TRB+BLK",0.431581327870292
"112","salary~TRB+PTS+BLK",0.431581327870292
"113","salary~BLK+PTS+TRB",0.431581327870292
"114","salary~PTS*TRB*`eFG%`",0.444428854637361
"115","salary~PTS*TRB+`eFG%`",0.431591979096617
"116","salary~PTS*`eFG%`+TRB",0.42537663551666
"117","salary~TRB*`eFG%`+PTS",0.425494568036134
"118","salary~PTS+TRB+`eFG%`",0.426670085729415
"119","salary~TRB+PTS+`eFG%`",0.426670085729415
"120","salary~`eFG%`+PTS+TRB",0.426670085729415
"121","salary~PTS*TRB*Pos",0.469491757844348
"122","salary~PTS*TRB+Pos",0.446506703545338
"123","salary~PTS*Pos+TRB",0.454571749346843
"124","salary~TRB*Pos+PTS",0.457193189219503
"125","salary~PTS+TRB+Pos",0.441526813468173
"126","salary~TRB+PTS+Pos",0.441526813468173
"127","salary~Pos+PTS+TRB",0.441526813468173
"128","salary~PTS*TRB*Age",0.618175761120303
"129","salary~PTS*TRB+Age",0.540909300579866
"130","salary~PTS*Age+TRB",0.616529275245599
"131","salary~TRB*Age+PTS",0.575058744042825
"132","salary~PTS+TRB+Age",0.531715574323477
"133","salary~TRB+PTS+Age",0.531715574323477
"134","salary~Age+PTS+TRB",0.531715574323477
"135","salary~PTS*AST*STL",0.457877663593384
"136","salary~PTS*AST+STL",0.455960757969194
"137","salary~PTS*STL+AST",0.448230038616442
"138","salary~AST*STL+PTS",0.447801335965855
"139","salary~PTS+AST+STL",0.448554306190663
"140","salary~AST+PTS+STL",0.448554306190663
"141","salary~STL+PTS+AST",0.448554306190663
"142","salary~PTS*AST*BLK",0.465877879146772
"143","salary~PTS*AST+BLK",0.445992982887552
"144","salary~PTS*BLK+AST",0.460562352027938
"145","salary~AST*BLK+PTS",0.459334854793595
"146","salary~PTS+AST+BLK",0.446429425133476
"147","salary~AST+PTS+BLK",0.446429425133476
"148","salary~BLK+PTS+AST",0.446429425133476
"149","salary~PTS*AST*`eFG%`",0.442301487673597
"150","salary~PTS*AST+`eFG%`",0.439004597980391
"151","salary~PTS*`eFG%`+AST",0.439031725860327
"152","salary~AST*`eFG%`+PTS",0.43768877499143
"153","salary~PTS+AST+`eFG%`",0.438215326399944
"154","salary~AST+PTS+`eFG%`",0.438215326399944
"155","salary~`eFG%`+PTS+AST",0.438215326399944
"156","salary~PTS*AST*Pos",0.490323424899441
"157","salary~PTS*AST+Pos",0.452904511280934
"158","salary~PTS*Pos+AST",0.470069489394939
"159","salary~AST*Pos+PTS",0.476545433727071
"160","salary~PTS+AST+Pos",0.452449420331711
"161","salary~AST+PTS+Pos",0.452449420331711
"162","salary~Pos+PTS+AST",0.452449420331711
"163","salary~PTS*AST*Age",0.629526877113296
"164","salary~PTS*AST+Age",0.536787075877402
"165","salary~PTS*Age+AST",0.621251603882202
"166","salary~AST*Age+PTS",0.619966594543397
"167","salary~PTS+AST+Age",0.537643257473422
"168","salary~AST+PTS+Age",0.537643257473422
"169","salary~Age+PTS+AST",0.537643257473422
"170","salary~PTS*STL*BLK",0.439793467267057
"171","salary~PTS*STL+BLK",0.431265938375161
