"","Player","...1","seasonStartYear","salary","inflationAdjSalary","Rk","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player-additional"
"1","Aaron Gordon",77,2021,"16409091","17895714",74,26,"DEN","PF",75,75,2376,434,834,0.52,87,260,0.335,347,574,0.605,0.573,171,230,0.743,125,314,439,188,44,44,133,148,1126,0,NA,"gordoaa01"
"2","Aaron Henry",566,2021,"223338","243571",781,22,"PHI","SF",6,0,17,1,5,0.2,0,1,0,1,4,0.25,0.2,0,0,NA,0,1,1,0,0,2,2,2,2,0,NA,"henryaa01"
"3","Aaron Nesmith",265,2021,"3631200","3960177",464,22,"BOS","SF",52,3,574,72,182,0.396,31,115,0.27,41,67,0.612,0.481,21,26,0.808,15,74,89,22,20,5,31,70,196,0,NA,"nesmiaa01"
"4","Aaron Wiggins",451,2021,"1305761","1424059",309,23,"OKC","SG",50,35,1209,156,337,0.463,42,138,0.304,114,199,0.573,0.525,62,85,0.729,51,127,178,68,30,10,54,93,416,0,NA,"wiggiaa01"
"5","Abdel Nader",366,2021,"2000000","2181195",652,28,"PHO","SF",14,0,145,12,35,0.343,4,14,0.286,8,21,0.381,0.4,6,10,0.6,4,23,27,7,8,4,11,20,34,0,NA,"naderab01"
"6","Ade Murkey",644,2021,"53176","57993",807,24,"SAC","SG",1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,"murkead01"
"7","Admiral Schofield",490,2021,"723741","789309",511,24,"ORL","SF",38,1,469,54,129,0.419,26,79,0.329,28,50,0.56,0.519,12,15,0.8,17,72,89,25,4,5,21,58,146,0,NA,"schofad01"
"8","Ahmad Caver",633,2021,"53176","57993",779,25,"IND","SG",1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,NA,"caverah01"
"9","Al Horford",40,2021,"27000000","29446134",176,35,"BOS","C",69,69,2005,266,569,0.467,89,265,0.336,177,304,0.582,0.546,80,95,0.842,108,422,530,232,49,92,65,130,701,0,"DPOY-9","horfoal01"
"10","Alec Burks",138,2021,"9536000","10399938",106,30,"NYK","SG",81,44,2318,285,728,0.391,157,389,0.404,128,339,0.378,0.499,217,264,0.822,47,350,397,239,85,26,91,215,944,0,NA,"burksal01"
"11","Aleem Ford",640,2021,"53176","57993",719,24,"ORL","SF",5,0,74,6,20,0.3,2,15,0.133,4,5,0.8,0.35,0,0,NA,2,13,15,2,1,0,4,7,14,0,NA,"fordal03"
"12","Aleksej Pokusevski",280,2021,"3113160","3395204",291,20,"OKC","PF",61,12,1233,186,456,0.408,57,197,0.289,129,259,0.498,0.47,35,50,0.7,73,245,318,131,39,38,94,88,464,1,NA,"pokusal01"
"13","Alex Caruso",151,2021,"8600000","9379139",390,27,"CHI","SG",41,18,1147,102,256,0.398,42,126,0.333,60,130,0.462,0.48,58,73,0.795,33,115,148,165,71,15,57,106,304,0,NA,"carusal01"
"14","Alex Len",263,2021,"3732000","4070110",432,28,"SAC","C",39,10,620,94,176,0.534,6,21,0.286,88,155,0.568,0.551,41,63,0.651,52,109,161,45,13,25,43,100,235,0,NA,"lenal01"
"15","Alfonzo McKinnie",456,2021,"1090007","1188758",615,29,"CHI","SF",17,3,206,24,61,0.393,9,27,0.333,15,34,0.441,0.467,2,8,0.25,13,20,33,5,2,3,7,26,59,0,NA,"mckinal01"
"16","Amir Coffey",496,2021,"573576","625540",218,24,"LAC","SG",69,30,1567,211,466,0.453,96,254,0.378,115,212,0.542,0.556,101,117,0.863,26,171,197,124,38,15,45,87,619,0,NA,"coffeam01"
"17","Andre Iguodala",299,2021,"2641691","2881021",534,38,"GSW","SF",31,0,603,46,121,0.38,17,74,0.23,29,47,0.617,0.45,15,20,0.75,21,79,100,114,27,22,28,34,124,0,NA,"iguodan01"
"18","Andrew Wiggins",25,2021,"31579390","34440406",55,26,"GSW","SF",73,73,2330,475,1019,0.466,157,399,0.393,318,620,0.513,0.543,149,235,0.634,85,240,325,161,76,51,111,158,1256,0,"AS","wiggian01"
"19","Anfernee Simons",256,2021,"3938818","4295665",93,22,"POR","SG",57,30,1681,353,797,0.443,179,442,0.405,174,355,0.49,0.555,103,116,0.888,26,125,151,221,30,6,115,110,988,0,NA,"simonan01"
"20","Anthony Davis",14,2021,"35361360","38565013",112,28,"LAL","C",40,40,1404,370,695,0.532,13,70,0.186,357,625,0.571,0.542,174,244,0.713,106,288,394,122,49,90,82,97,927,0,NA,"davisan02"
"21","Anthony Edwards",124,2021,"10245480","11173695",19,20,"MIN","SG",72,72,2466,549,1245,0.441,215,602,0.357,334,643,0.519,0.527,220,280,0.786,62,281,343,275,105,46,190,164,1533,0,NA,"edwaran01"
